Servidor_11;84.75;65.42;80.47;84.41;79.44;62.89;62.12;47.71;73.00;90.49;50.88;78.02;93.58;44.36;67.51;50.36;36.29;91.18;71.91;63.52;93.07;68.55;61.10;66.33;92.55;66.88;42.52;60.96;87.70;79.41
Servidor_12;59.38;64.20;66.81;79.85;91.59;78.08;53.69;64.18;84.55;37.78;80.40;80.70;62.62;88.71;59.69;59.89;65.65;36.02;66.34;56.70;42.13;38.99;81.71;86.30;67.52;70.00;40.01;50.35;55.89;79.81
Servidor_13;75.97;89.78;82.09;50.56;77.65;55.68;61.42;86.47;35.90;38.75;86.73;89.14;76.48;52.99;44.79;86.88;45.96;74.73;54.16;37.59;44.85;65.75;91.57;82.62;44.94;59.32;83.70;66.36;50.76;79.63
Servidor_14;42.95;67.75;86.61;91.52;93.85;59.21;71.32;75.16;44.34;86.18;55.17;56.70;52.47;47.70;60.76;80.58;67.50;56.15;60.31;39.53;71.93;80.79;63.17;81.33;75.10;40.35;49.71;67.62;40.08;88.14
Servidor_15;55.89;78.52;68.55;56.27;74.17;80.34;38.59;56.71;65.26;35.84;91.52;91.70;59.71;91.67;75.56;63.41;37.37;62.83;73.84;45.39;69.86;86.83;91.56;49.78;87.78;66.17;55.80;90.73;34.61;64.08
Servidor_16;83.57;57.79;86.27;40.92;76.94;59.62;66.28;71.14;60.07;85.66;80.56;37.48;66.08;67.97;69.21;36.84;74.06;85.16;65.16;78.95;74.92;71.69;76.29;77.37;76.08;88.44;55.65;85.36;54.94;91.04
Servidor_17;85.08;50.50;90.36;76.27;84.28;74.88;91.49;74.34;61.67;60.93;83.83;47.90;91.11;39.01;56.25;86.13;57.85;64.32;67.50;34.34;76.38;80.11;63.17;68.85;81.32;93.94;77.06;84.63;34.37;60.45
Servidor_18;40.39;78.94;69.94;79.15;93.27;42.78;91.63;35.93;42.56;56.99;38.39;50.92;88.58;91.06;78.94;92.92;88.13;60.69;42.49;86.39;35.31;68.50;66.55;35.66;41.52;86.76;88.08;72.55;91.13;76.99
Servidor_19;36.58;71.22;40.47;80.55;57.20;72.89;88.90;71.59;86.93;66.27;74.96;92.52;60.06;41.75;66.89;63.71;42.31;81.50;63.29;89.84;59.04;82.49;69.29;47.08;34.83;93.64;85.36;59.91;39.66;91.95
Servidor_20;66.10;37.85;54.09;34.12;71.95;91.66;73.66;84.65;48.13;55.59;73.51;71.34;84.65;83.38;57.69;54.32;38.27;87.63;76.52;75.61;44.20;65.09;84.55;57.94;79.84;80.63;68.78;41.67;44.11;38.12
Servidor_21;49.10;87.49;60.79;59.49;52.74;61.59;66.15;91.57;44.78;87.61;56.62;36.39;75.04;91.85;91.00;61.86;85.89;75.34;73.92;86.63;70.94;84.19;74.53;82.12;86.80;36.91;82.26;50.66;39.08;82.33
Servidor_22;60.53;61.92;70.74;34.57;93.23;83.79;83.50;69.17;59.27;66.14;80.08;58.14;79.15;91.32;34.45;83.17;78.62;66.62;36.76;87.60;63.39;57.86;37.71;50.35;85.75;66.91;71.31;79.09;89.53;87.00
Servidor_23;41.58;67.26;93.02;76.43;40.40;82.52;89.10;69.79;85.93;72.99;87.74;54.94;78.80;62.67;84.56;57.60;60.00;35.58;49.71;68.32;47.80;93.87;42.12;47.53;93.83;91.84;56.56;56.87;42.80;57.62
Servidor_24;71.63;81.91;54.59;34.87;42.31;56.87;34.64;93.91;77.80;40.34;76.92;61.00;56.75;80.75;36.69;85.63;64.29;68.83;78.90;91.53;60.40;67.13;91.83;40.96;88.85;93.13;91.50;62.42;43.28;41.90
Servidor_25;64.25;87.95;56.64;80.87;34.41;78.33;40.62;88.13;59.52;91.52;89.33;45.61;44.29;73.80;35.93;54.86;34.46;79.87;63.94;92.55;67.21;36.16;80.87;60.86;87.32;48.43;66.39;49.50;72.89;45.00
